Complaint ID,Date,Category,Description,Location,Status,Priority Level,Department,Response Time (Days),latitude,longitude
CMP-1204,8/3/2024,Illegal Parking,Illegal Parking reported in Downtown,Residential Area,Pending,Medium,Parks & Recreation,,24.702044,46.708385
CMP-1205,4/2/2024,Potholes,Potholes reported in Suburbs,Parks,In Progress,High,Sanitation,,24.722977,46.613313
CMP-1206,1/2/2024,Garbage Collection,Garbage Collection reported in Industrial Area,Residential Area,Resolved,Critical,Traffic,6.0,24.615048,46.683814
CMP-1207,5/22/2023,Noise Complaint,Noise Complaint reported in Parks,City Center,Resolved,High,Water Management,3.0,24.738679,46.798746
CMP-1208,9/22/2024,Potholes,Potholes reported in Industrial Area,Parks,Pending,Critical,Sanitation,,24.615131,46.710238
CMP-1209,10/9/2024,Water Leakage,Water Leakage reported in Industrial Area,Downtown,Resolved,High,Public Works,22.0,24.665393,46.739001
CMP-1210,10/26/2024,Illegal Parking,Illegal Parking reported in Industrial Area,Industrial Area,Resolved,Low,Water Management,24.0,24.699803,46.712649
CMP-1211,2/11/2023,Noise Complaint,Noise Complaint reported in City Center,Industrial Area,Pending,Medium,Public Works,,24.604497,46.643499
CMP-1212,6/30/2023,Garbage Collection,Garbage Collection reported in Downtown,Downtown,Resolved,Medium,Parks & Recreation,14.0,24.778403,46.637261
CMP-1213,10/28/2024,Garbage Collection,Garbage Collection reported in Residential Area,Residential Area,Pending,Medium,Public Works,,24.720054,46.714393
CMP-1214,3/17/2024,Water Leakage,Water Leakage reported in Parks,Parks,Resolved,High,Water Management,11.0,24.626307,46.786576
CMP-1215,5/16/2023,Garbage Collection,Garbage Collection reported in Suburbs,Suburbs,Escalated,Medium,Parks & Recreation,,24.653403,46.632833
CMP-1216,10/12/2023,Noise Complaint,Noise Complaint reported in City Center,Suburbs,Resolved,Medium,Public Works,14.0,24.624623,46.657404
CMP-1217,4/16/2023,Illegal Parking,Illegal Parking reported in City Center,Downtown,Escalated,Critical,Water Management,,24.604307,46.628123
CMP-1218,3/11/2024,Potholes,Potholes reported in Industrial Area,Downtown,Pending,Low,Water Management,,24.749224,46.770664
CMP-1219,2/16/2023,Water Leakage,Water Leakage reported in Residential Area,Parks,Resolved,High,Water Management,12.0,24.782476,46.767522
CMP-1220,9/8/2023,Noise Complaint,Noise Complaint reported in Downtown,City Center,Resolved,Medium,Sanitation,13.0,24.613076,46.604784
CMP-1221,7/21/2024,Street Lighting,Street Lighting reported in Parks,Residential Area,Resolved,Medium,Public Works,11.0,24.740616,46.61298
CMP-1222,2/11/2023,Garbage Collection,Garbage Collection reported in City Center,Residential Area,Resolved,High,Sanitation,22.0,24.715487,46.774296
CMP-1223,6/19/2023,Water Leakage,Water Leakage reported in Residential Area,Residential Area,Resolved,High,Public Works,24.0,24.690577,46.656915
CMP-1224,12/17/2024,Illegal Parking,Illegal Parking reported in Suburbs,Suburbs,In Progress,Medium,Water Management,,24.822651,46.662708
CMP-1225,6/10/2024,Water Leakage,Water Leakage reported in Industrial Area,Residential Area,Resolved,Low,Traffic,1.0,24.781943,46.767456
CMP-1226,3/3/2023,Water Leakage,Water Leakage reported in Industrial Area,Parks,In Progress,Low,Public Works,,24.661238,46.715014
CMP-1227,6/3/2024,Water Leakage,Water Leakage reported in Downtown,City Center,Escalated,High,Water Management,,24.704653,46.731538
CMP-1228,10/21/2024,Illegal Parking,Illegal Parking reported in Residential Area,Residential Area,In Progress,High,Sanitation,,24.83198,46.72836
CMP-1229,4/11/2023,Garbage Collection,Garbage Collection reported in Suburbs,Industrial Area,Resolved,High,Public Works,2.0,24.758243,46.746763
CMP-1230,3/15/2023,Street Lighting,Street Lighting reported in Parks,City Center,Resolved,Medium,Traffic,26.0,24.843934,46.654261
CMP-1231,6/3/2024,Noise Complaint,Noise Complaint reported in Parks,City Center,In Progress,High,Public Works,,24.790169,46.629064
CMP-1232,9/23/2024,Garbage Collection,Garbage Collection reported in Downtown,City Center,In Progress,Low,Sanitation,,24.620513,46.786333
CMP-1233,9/29/2024,Street Lighting,Street Lighting reported in Downtown,Suburbs,Pending,Low,Parks & Recreation,,24.709554,46.725182
CMP-1234,5/29/2024,Illegal Parking,Illegal Parking reported in Industrial Area,Suburbs,In Progress,Low,Traffic,,24.780449,46.687253
CMP-1235,5/31/2023,Potholes,Potholes reported in Residential Area,Downtown,In Progress,Critical,Water Management,,24.776964,46.681446
CMP-1236,7/28/2023,Garbage Collection,Garbage Collection reported in Parks,Residential Area,Resolved,Medium,Public Works,4.0,24.640485,46.610534
CMP-1237,2/23/2024,Street Lighting,Street Lighting reported in Parks,Suburbs,Resolved,Medium,Traffic,23.0,24.799355,46.661926
CMP-1238,2/22/2024,Noise Complaint,Noise Complaint reported in Residential Area,Downtown,Resolved,Low,Public Works,17.0,24.79281,46.649956
CMP-1239,11/22/2023,Water Leakage,Water Leakage reported in City Center,Suburbs,Resolved,Low,Sanitation,5.0,24.605792,46.659903
CMP-1240,8/19/2023,Water Leakage,Water Leakage reported in City Center,City Center,In Progress,Low,Water Management,,24.758383,46.615569
CMP-1241,4/18/2024,Street Lighting,Street Lighting reported in Industrial Area,Residential Area,Resolved,High,Traffic,9.0,24.801068,46.631701
CMP-1242,4/8/2023,Illegal Parking,Illegal Parking reported in Suburbs,Parks,Resolved,Low,Parks & Recreation,22.0,24.812644,46.658739
CMP-1243,8/31/2023,Illegal Parking,Illegal Parking reported in City Center,Residential Area,In Progress,Low,Parks & Recreation,,24.811922,46.756407
CMP-1244,5/18/2023,Noise Complaint,Noise Complaint reported in Parks,Suburbs,In Progress,High,Public Works,,24.761132,46.740155
CMP-1245,5/23/2023,Water Leakage,Water Leakage reported in Suburbs,Suburbs,Resolved,Critical,Sanitation,8.0,24.645284,46.727547
CMP-1246,5/8/2023,Illegal Parking,Illegal Parking reported in City Center,Residential Area,Pending,Medium,Public Works,,24.808315,46.710545
CMP-1247,9/13/2023,Garbage Collection,Garbage Collection reported in City Center,City Center,Resolved,Medium,Public Works,26.0,24.849262,46.790171
CMP-1248,2/27/2024,Garbage Collection,Garbage Collection reported in Residential Area,Suburbs,Resolved,Low,Parks & Recreation,26.0,24.640193,46.690807
CMP-1249,6/20/2023,Noise Complaint,Noise Complaint reported in Suburbs,Residential Area,Resolved,High,Parks & Recreation,14.0,24.719749,46.71987
CMP-1250,10/27/2024,Street Lighting,Street Lighting reported in Downtown,Suburbs,Escalated,Low,Traffic,,24.63116,46.771307
CMP-1251,8/5/2024,Noise Complaint,Noise Complaint reported in Residential Area,Suburbs,In Progress,High,Water Management,,24.717742,46.780869
CMP-1252,1/12/2023,Potholes,Potholes reported in Industrial Area,Suburbs,Resolved,Critical,Public Works,2.0,24.797377,46.723729
CMP-1253,6/16/2023,Water Leakage,Water Leakage reported in Industrial Area,Downtown,Pending,Low,Parks & Recreation,,24.743159,46.719205
CMP-1254,2/4/2023,Street Lighting,Street Lighting reported in Suburbs,Suburbs,In Progress,Low,Parks & Recreation,,24.603226,46.728321
CMP-1255,7/15/2024,Noise Complaint,Noise Complaint reported in Suburbs,Downtown,Pending,High,Water Management,,24.660327,46.721112
CMP-1256,7/11/2024,Garbage Collection,Garbage Collection reported in Parks,Parks,Resolved,Medium,Sanitation,5.0,24.691383,46.749781
CMP-1257,1/10/2023,Illegal Parking,Illegal Parking reported in Industrial Area,Downtown,Pending,Low,Traffic,,24.713617,46.663934
CMP-1258,12/18/2023,Potholes,Potholes reported in Downtown,Industrial Area,Escalated,Critical,Sanitation,,24.802206,46.700651
CMP-1259,6/11/2024,Street Lighting,Street Lighting reported in Residential Area,Suburbs,Resolved,High,Traffic,12.0,24.848443,46.602789
CMP-1260,5/27/2024,Water Leakage,Water Leakage reported in Industrial Area,Suburbs,Resolved,High,Water Management,15.0,24.789847,46.607192
CMP-1261,6/24/2023,Noise Complaint,Noise Complaint reported in Suburbs,Parks,Resolved,High,Parks & Recreation,10.0,24.64067,46.663854
CMP-1262,9/29/2024,Potholes,Potholes reported in Residential Area,Downtown,Resolved,Low,Traffic,2.0,24.727557,46.789219
CMP-1263,3/19/2024,Potholes,Potholes reported in Parks,Suburbs,Resolved,Critical,Traffic,23.0,24.684865,46.754288
CMP-1264,3/17/2023,Noise Complaint,Noise Complaint reported in Downtown,Parks,In Progress,Low,Sanitation,,24.624782,46.676285
CMP-1265,4/28/2023,Noise Complaint,Noise Complaint reported in Residential Area,Residential Area,Resolved,Low,Water Management,5.0,24.757929,46.624684
CMP-1266,10/18/2023,Noise Complaint,Noise Complaint reported in Downtown,Residential Area,Pending,Medium,Parks & Recreation,,24.828064,46.746048
CMP-1267,4/19/2024,Noise Complaint,Noise Complaint reported in Residential Area,Industrial Area,Pending,Low,Public Works,,24.83835,46.682915
CMP-1268,3/28/2024,Street Lighting,Street Lighting reported in Downtown,Industrial Area,In Progress,Medium,Water Management,,24.777828,46.770759
CMP-1269,4/22/2023,Water Leakage,Water Leakage reported in Suburbs,Parks,Resolved,Low,Traffic,30.0,24.6954,46.777717
CMP-1270,4/1/2023,Potholes,Potholes reported in Suburbs,Downtown,Resolved,Medium,Traffic,29.0,24.827265,46.672674
CMP-1271,8/19/2024,Potholes,Potholes reported in City Center,Residential Area,Resolved,Low,Traffic,4.0,24.610089,46.647577
CMP-1272,2/28/2024,Potholes,Potholes reported in Downtown,Residential Area,In Progress,Critical,Water Management,,24.755893,46.784212
CMP-1273,7/24/2024,Potholes,Potholes reported in City Center,Residential Area,Pending,Medium,Public Works,,24.673152,46.705405
CMP-1274,6/24/2023,Garbage Collection,Garbage Collection reported in Downtown,Downtown,Resolved,Medium,Sanitation,27.0,24.819226,46.708087
CMP-1275,4/23/2024,Noise Complaint,Noise Complaint reported in Suburbs,Industrial Area,Pending,Critical,Traffic,,24.672105,46.629746
CMP-1276,5/13/2024,Potholes,Potholes reported in City Center,Industrial Area,Resolved,Medium,Public Works,26.0,24.772473,46.76616
CMP-1277,9/2/2024,Water Leakage,Water Leakage reported in Industrial Area,Industrial Area,Resolved,Low,Water Management,18.0,24.716837,46.624724
CMP-1278,3/24/2024,Noise Complaint,Noise Complaint reported in Suburbs,Residential Area,Escalated,Medium,Traffic,,24.604287,46.639555
CMP-1279,9/27/2023,Water Leakage,Water Leakage reported in Suburbs,Industrial Area,Pending,Low,Parks & Recreation,,24.762726,46.618892
CMP-1280,9/8/2024,Illegal Parking,Illegal Parking reported in Suburbs,Parks,Pending,Low,Traffic,,24.830395,46.786214
CMP-1281,1/19/2024,Street Lighting,Street Lighting reported in Suburbs,Downtown,Resolved,High,Water Management,21.0,24.745667,46.722244
CMP-1282,1/28/2023,Street Lighting,Street Lighting reported in City Center,Industrial Area,Escalated,Low,Traffic,,24.74398,46.788342
CMP-1283,10/19/2023,Potholes,Potholes reported in City Center,City Center,Resolved,Medium,Water Management,5.0,24.847617,46.759369
CMP-1284,1/29/2024,Illegal Parking,Illegal Parking reported in Residential Area,Residential Area,Resolved,Low,Public Works,24.0,24.616108,46.796111
CMP-1285,12/5/2024,Illegal Parking,Illegal Parking reported in Industrial Area,Suburbs,Pending,High,Water Management,,24.660271,46.637974
CMP-1286,8/5/2024,Potholes,Potholes reported in Parks,City Center,Resolved,Low,Parks & Recreation,1.0,24.632143,46.661719
CMP-1287,6/22/2023,Street Lighting,Street Lighting reported in City Center,Residential Area,Pending,Low,Water Management,,24.664176,46.676591
CMP-1288,1/30/2024,Street Lighting,Street Lighting reported in City Center,Parks,Pending,Medium,Water Management,,24.618634,46.720299
CMP-1289,3/22/2023,Illegal Parking,Illegal Parking reported in Residential Area,Industrial Area,Resolved,Low,Water Management,11.0,24.693544,46.725287
CMP-1290,8/12/2023,Illegal Parking,Illegal Parking reported in Residential Area,Industrial Area,Resolved,Medium,Traffic,19.0,24.641485,46.746756
CMP-1291,1/27/2023,Street Lighting,Street Lighting reported in Parks,Residential Area,Resolved,High,Traffic,27.0,24.622875,46.741068
CMP-1292,9/20/2024,Noise Complaint,Noise Complaint reported in Parks,Industrial Area,Pending,Medium,Water Management,,24.737753,46.742647
CMP-1293,12/25/2024,Noise Complaint,Noise Complaint reported in Downtown,Suburbs,In Progress,Low,Sanitation,,24.704675,46.678412
CMP-1294,3/31/2023,Garbage Collection,Garbage Collection reported in Residential Area,City Center,In Progress,Low,Parks & Recreation,,24.691699,46.641062
CMP-1295,1/17/2024,Illegal Parking,Illegal Parking reported in Residential Area,Residential Area,Escalated,Medium,Water Management,,24.698939,46.659871
CMP-1296,6/9/2024,Noise Complaint,Noise Complaint reported in Downtown,Industrial Area,In Progress,High,Public Works,,24.65976,46.667799
CMP-1297,10/13/2023,Illegal Parking,Illegal Parking reported in Residential Area,Parks,Resolved,Low,Water Management,13.0,24.74988,46.777321
CMP-1298,4/5/2023,Water Leakage,Water Leakage reported in Suburbs,Suburbs,Resolved,High,Traffic,12.0,24.806222,46.753521
CMP-1299,2/12/2024,Street Lighting,Street Lighting reported in City Center,Industrial Area,In Progress,Critical,Public Works,,24.724722,46.621434
CMP-1300,12/31/2024,Water Leakage,Water Leakage reported in Suburbs,Suburbs,Pending,High,Public Works,,24.696841,46.627936
CMP-1301,7/17/2023,Noise Complaint,Noise Complaint reported in Industrial Area,City Center,In Progress,High,Traffic,,24.825466,46.715708
CMP-1302,1/6/2023,Street Lighting,Street Lighting reported in Downtown,Downtown,Pending,Low,Sanitation,,24.694078,46.6532
CMP-1303,11/23/2023,Potholes,Potholes reported in Residential Area,Residential Area,Resolved,Critical,Parks & Recreation,27.0,24.802356,46.799062
CMP-1304,10/15/2024,Noise Complaint,Noise Complaint reported in Industrial Area,City Center,Escalated,Medium,Sanitation,,24.662323,46.696805
CMP-1305,1/11/2023,Street Lighting,Street Lighting reported in Residential Area,Industrial Area,Resolved,High,Traffic,27.0,24.645797,46.663456
CMP-1306,9/24/2024,Garbage Collection,Garbage Collection reported in Industrial Area,Industrial Area,Resolved,High,Water Management,28.0,24.631652,46.709682
CMP-1307,8/28/2024,Noise Complaint,Noise Complaint reported in Suburbs,Residential Area,In Progress,High,Sanitation,,24.614901,46.775053
CMP-1308,6/12/2023,Garbage Collection,Garbage Collection reported in Industrial Area,City Center,Resolved,High,Sanitation,2.0,24.634001,46.658266
CMP-1309,8/27/2023,Potholes,Potholes reported in Parks,City Center,Resolved,High,Public Works,2.0,24.629487,46.65413
CMP-1310,8/8/2023,Street Lighting,Street Lighting reported in Downtown,Industrial Area,Resolved,Medium,Parks & Recreation,2.0,24.759415,46.710543
CMP-1311,9/10/2024,Illegal Parking,Illegal Parking reported in Industrial Area,Downtown,Resolved,Medium,Sanitation,10.0,24.809014,46.675712
CMP-1312,3/30/2024,Noise Complaint,Noise Complaint reported in Residential Area,Downtown,Pending,Low,Parks & Recreation,,24.696473,46.760845
CMP-1313,2/11/2023,Potholes,Potholes reported in Downtown,City Center,Pending,Critical,Parks & Recreation,,24.809262,46.727285
CMP-1314,5/28/2024,Street Lighting,Street Lighting reported in Suburbs,Parks,Pending,Low,Traffic,,24.792705,46.737567
CMP-1315,11/11/2024,Water Leakage,Water Leakage reported in Industrial Area,Parks,Resolved,High,Traffic,26.0,24.615539,46.774368
CMP-1316,7/14/2024,Street Lighting,Street Lighting reported in Industrial Area,City Center,Escalated,Medium,Parks & Recreation,,24.725213,46.785993
CMP-1317,12/27/2024,Illegal Parking,Illegal Parking reported in Suburbs,City Center,Escalated,High,Sanitation,,24.67853,46.670832
CMP-1318,11/26/2024,Garbage Collection,Garbage Collection reported in Parks,Industrial Area,Pending,High,Parks & Recreation,,24.737748,46.768478
CMP-1319,3/23/2023,Potholes,Potholes reported in Industrial Area,City Center,Resolved,Low,Sanitation,28.0,24.840881,46.687134
CMP-1320,12/24/2023,Illegal Parking,Illegal Parking reported in Parks,Downtown,Resolved,High,Parks & Recreation,25.0,24.646917,46.626929
CMP-1321,1/29/2024,Potholes,Potholes reported in Residential Area,Industrial Area,Resolved,Critical,Public Works,18.0,24.796189,46.777777
CMP-1322,1/12/2023,Potholes,Potholes reported in Residential Area,Suburbs,Resolved,Critical,Sanitation,18.0,24.780611,46.780962
CMP-1323,11/23/2024,Street Lighting,Street Lighting reported in Suburbs,Industrial Area,Pending,Medium,Traffic,,24.601863,46.799722
CMP-1324,11/30/2023,Garbage Collection,Garbage Collection reported in Downtown,Suburbs,Resolved,Low,Parks & Recreation,3.0,24.626823,46.636569
CMP-1325,7/5/2023,Garbage Collection,Garbage Collection reported in Downtown,City Center,Resolved,Critical,Parks & Recreation,1.0,24.644039,46.716443
CMP-1326,1/25/2024,Illegal Parking,Illegal Parking reported in Downtown,City Center,In Progress,Critical,Water Management,,24.714356,46.625041
CMP-1327,2/19/2023,Potholes,Potholes reported in Residential Area,Industrial Area,Resolved,Critical,Parks & Recreation,6.0,24.655379,46.64026
CMP-1328,7/23/2023,Street Lighting,Street Lighting reported in Residential Area,City Center,In Progress,Low,Parks & Recreation,,24.803815,46.69635
CMP-1329,7/20/2023,Illegal Parking,Illegal Parking reported in Downtown,Suburbs,In Progress,High,Water Management,,24.761407,46.69187
CMP-1330,11/28/2024,Street Lighting,Street Lighting reported in Suburbs,Parks,Pending,High,Traffic,,24.69722,46.751858
CMP-1331,12/27/2023,Street Lighting,Street Lighting reported in Industrial Area,Parks,Resolved,Medium,Traffic,15.0,24.781089,46.711253
CMP-1332,1/2/2024,Noise Complaint,Noise Complaint reported in Industrial Area,Industrial Area,Pending,Low,Water Management,,24.603899,46.731543
CMP-1333,3/31/2023,Potholes,Potholes reported in Residential Area,Suburbs,Resolved,Low,Traffic,28.0,24.673637,46.614991
CMP-1334,12/30/2024,Potholes,Potholes reported in City Center,Parks,Resolved,Critical,Water Management,13.0,24.792948,46.633894
CMP-1335,5/19/2023,Noise Complaint,Noise Complaint reported in Residential Area,City Center,Resolved,High,Traffic,30.0,24.781001,46.797142
CMP-1336,9/6/2023,Garbage Collection,Garbage Collection reported in Downtown,City Center,In Progress,High,Public Works,,24.628682,46.618832
CMP-1337,11/26/2023,Noise Complaint,Noise Complaint reported in Parks,Downtown,Pending,Low,Sanitation,,24.701818,46.794267
CMP-1338,5/1/2023,Water Leakage,Water Leakage reported in Residential Area,City Center,In Progress,Low,Parks & Recreation,,24.831848,46.737551
CMP-1339,10/10/2023,Potholes,Potholes reported in Downtown,Residential Area,Pending,Medium,Water Management,,24.654376,46.676806
CMP-1340,2/25/2023,Potholes,Potholes reported in Industrial Area,Industrial Area,In Progress,Critical,Public Works,,24.754796,46.65741
CMP-1341,10/20/2024,Potholes,Potholes reported in Suburbs,Industrial Area,Resolved,Low,Parks & Recreation,7.0,24.737245,46.798954
CMP-1342,3/14/2023,Potholes,Potholes reported in Residential Area,Residential Area,Escalated,Low,Sanitation,,24.747621,46.775148
CMP-1343,10/21/2023,Water Leakage,Water Leakage reported in Suburbs,Downtown,Pending,Medium,Water Management,,24.601245,46.790379
CMP-1344,7/29/2024,Garbage Collection,Garbage Collection reported in Parks,Residential Area,Pending,Critical,Sanitation,,24.728616,46.634404
CMP-1345,3/6/2024,Noise Complaint,Noise Complaint reported in Industrial Area,Industrial Area,In Progress,Medium,Parks & Recreation,,24.717742,46.769909
CMP-1346,1/13/2024,Garbage Collection,Garbage Collection reported in Industrial Area,Suburbs,Resolved,Low,Traffic,14.0,24.810546,46.664803
CMP-1347,9/21/2023,Illegal Parking,Illegal Parking reported in Suburbs,City Center,Pending,Low,Sanitation,,24.613769,46.735086
CMP-1348,6/23/2024,Street Lighting,Street Lighting reported in Industrial Area,Residential Area,Pending,Medium,Water Management,,24.846964,46.726788
CMP-1349,7/1/2024,Garbage Collection,Garbage Collection reported in Industrial Area,City Center,In Progress,High,Traffic,,24.681881,46.609594
CMP-1350,5/24/2024,Illegal Parking,Illegal Parking reported in Residential Area,Suburbs,Resolved,Critical,Traffic,17.0,24.674631,46.615277
CMP-1351,6/13/2023,Water Leakage,Water Leakage reported in Downtown,Residential Area,Pending,Low,Public Works,,24.660333,46.733668
CMP-1352,1/2/2023,Potholes,Potholes reported in Parks,Parks,Pending,Critical,Sanitation,,24.62332,46.717723
CMP-1353,11/28/2023,Illegal Parking,Illegal Parking reported in Suburbs,Suburbs,Resolved,Low,Water Management,3.0,24.767199,46.733038
CMP-1354,9/18/2024,Street Lighting,Street Lighting reported in City Center,Industrial Area,Pending,Medium,Public Works,,24.823947,46.708174
CMP-1355,8/29/2023,Illegal Parking,Illegal Parking reported in Downtown,Industrial Area,Resolved,Medium,Water Management,7.0,24.691133,46.69998
CMP-1356,11/20/2023,Illegal Parking,Illegal Parking reported in Downtown,Downtown,Resolved,Low,Water Management,25.0,24.644386,46.742477
CMP-1357,5/14/2024,Garbage Collection,Garbage Collection reported in Parks,Residential Area,Resolved,Low,Public Works,19.0,24.653486,46.665593
CMP-1358,4/17/2023,Garbage Collection,Garbage Collection reported in Parks,Parks,Pending,Critical,Water Management,,24.629113,46.765723
CMP-1359,12/4/2024,Noise Complaint,Noise Complaint reported in Suburbs,City Center,Resolved,Medium,Traffic,24.0,24.624974,46.796252
CMP-1360,2/7/2024,Noise Complaint,Noise Complaint reported in Parks,Downtown,Resolved,Low,Sanitation,3.0,24.775027,46.665418
CMP-1361,1/10/2023,Street Lighting,Street Lighting reported in Industrial Area,Parks,Escalated,Low,Sanitation,,24.788795,46.602358
CMP-1362,10/27/2024,Potholes,Potholes reported in Industrial Area,Suburbs,Resolved,Medium,Parks & Recreation,28.0,24.70135,46.666955
CMP-1363,5/19/2023,Potholes,Potholes reported in Suburbs,Parks,Pending,Low,Parks & Recreation,,24.673678,46.686297
CMP-1364,1/16/2024,Garbage Collection,Garbage Collection reported in Downtown,Downtown,Resolved,High,Traffic,18.0,24.786334,46.699953
CMP-1365,4/1/2024,Water Leakage,Water Leakage reported in Suburbs,Industrial Area,Resolved,High,Traffic,30.0,24.666646,46.658278
CMP-1366,3/22/2023,Street Lighting,Street Lighting reported in Industrial Area,Industrial Area,In Progress,Low,Parks & Recreation,,24.781878,46.728865
CMP-1367,5/14/2023,Water Leakage,Water Leakage reported in Parks,Downtown,Resolved,Low,Sanitation,3.0,24.830554,46.624056
CMP-1368,4/4/2023,Potholes,Potholes reported in Industrial Area,Industrial Area,Resolved,High,Traffic,18.0,24.770311,46.734943
CMP-1369,6/30/2024,Illegal Parking,Illegal Parking reported in Parks,Residential Area,Resolved,Low,Sanitation,8.0,24.678701,46.654271
CMP-1370,11/10/2023,Street Lighting,Street Lighting reported in City Center,Residential Area,Resolved,Medium,Parks & Recreation,13.0,24.837994,46.740294
CMP-1371,10/7/2023,Water Leakage,Water Leakage reported in Downtown,Downtown,Resolved,Low,Water Management,7.0,24.779569,46.666515
CMP-1372,2/16/2023,Noise Complaint,Noise Complaint reported in City Center,Residential Area,Resolved,Medium,Public Works,17.0,24.781014,46.636822
CMP-1373,8/17/2024,Noise Complaint,Noise Complaint reported in Industrial Area,Industrial Area,Pending,High,Parks & Recreation,,24.651275,46.606414
CMP-1374,8/12/2023,Garbage Collection,Garbage Collection reported in Suburbs,Residential Area,Resolved,Medium,Sanitation,25.0,24.710541,46.687014
CMP-1375,10/12/2023,Illegal Parking,Illegal Parking reported in Residential Area,Downtown,Pending,High,Parks & Recreation,,24.828647,46.616262
CMP-1376,1/16/2024,Street Lighting,Street Lighting reported in Industrial Area,Suburbs,In Progress,Low,Sanitation,,24.773349,46.71109
CMP-1377,5/24/2023,Potholes,Potholes reported in Suburbs,Suburbs,In Progress,Low,Parks & Recreation,,24.651475,46.774641
CMP-1378,2/22/2024,Garbage Collection,Garbage Collection reported in Residential Area,Downtown,Pending,Low,Sanitation,,24.731567,46.680796
CMP-1379,5/6/2024,Potholes,Potholes reported in Suburbs,Parks,Resolved,High,Public Works,27.0,24.796024,46.656055
CMP-1380,3/1/2024,Potholes,Potholes reported in Suburbs,Industrial Area,Escalated,Low,Traffic,,24.817494,46.735651
CMP-1381,8/21/2024,Garbage Collection,Garbage Collection reported in Downtown,Suburbs,Resolved,Low,Water Management,7.0,24.664004,46.787727
CMP-1382,4/6/2024,Street Lighting,Street Lighting reported in Suburbs,City Center,Escalated,Medium,Water Management,,24.658953,46.787692
CMP-1383,6/10/2024,Garbage Collection,Garbage Collection reported in Parks,City Center,Pending,Low,Parks & Recreation,,24.836851,46.689145
CMP-1384,9/18/2024,Water Leakage,Water Leakage reported in Suburbs,Suburbs,Resolved,Critical,Parks & Recreation,5.0,24.725191,46.687455
CMP-1385,2/23/2024,Water Leakage,Water Leakage reported in Suburbs,Residential Area,Pending,Low,Public Works,,24.724593,46.786336
CMP-1386,10/23/2023,Illegal Parking,Illegal Parking reported in Parks,Residential Area,Resolved,High,Sanitation,27.0,24.628337,46.732749
CMP-1387,3/28/2023,Street Lighting,Street Lighting reported in Residential Area,Parks,Resolved,High,Water Management,12.0,24.836081,46.781287
CMP-1388,6/9/2024,Noise Complaint,Noise Complaint reported in Suburbs,Suburbs,Resolved,High,Traffic,23.0,24.783412,46.609056
CMP-1389,2/3/2023,Garbage Collection,Garbage Collection reported in Industrial Area,Suburbs,Resolved,High,Public Works,3.0,24.679782,46.748906
CMP-1390,1/23/2023,Street Lighting,Street Lighting reported in City Center,Industrial Area,Resolved,High,Public Works,5.0,24.682425,46.607903
CMP-1391,12/22/2023,Street Lighting,Street Lighting reported in Downtown,Residential Area,Resolved,High,Parks & Recreation,8.0,24.770317,46.724685
CMP-1392,7/31/2024,Illegal Parking,Illegal Parking reported in Industrial Area,Downtown,Resolved,Medium,Traffic,26.0,24.811955,46.734123
CMP-1393,2/1/2023,Water Leakage,Water Leakage reported in Suburbs,Industrial Area,Pending,Medium,Water Management,,24.670273,46.650732
CMP-1394,9/7/2023,Illegal Parking,Illegal Parking reported in Suburbs,Suburbs,Resolved,Medium,Parks & Recreation,4.0,24.626266,46.642307
CMP-1395,9/8/2023,Water Leakage,Water Leakage reported in Suburbs,Parks,Pending,Low,Water Management,,24.68606,46.724772
CMP-1396,10/17/2023,Street Lighting,Street Lighting reported in Residential Area,Suburbs,Resolved,Low,Sanitation,18.0,24.680652,46.689548
CMP-1397,3/10/2024,Potholes,Potholes reported in Suburbs,Downtown,Escalated,High,Sanitation,,24.792699,46.666581
CMP-1398,8/6/2024,Illegal Parking,Illegal Parking reported in City Center,Parks,Pending,Critical,Water Management,,24.67874,46.7526
CMP-1399,2/6/2024,Water Leakage,Water Leakage reported in Residential Area,Suburbs,Resolved,Low,Sanitation,10.0,24.631733,46.682353
CMP-1400,3/1/2024,Illegal Parking,Illegal Parking reported in Parks,Industrial Area,In Progress,Low,Public Works,,24.610294,46.746455
CMP-1401,2/18/2024,Potholes,Potholes reported in City Center,Parks,Resolved,Critical,Water Management,30.0,24.634719,46.673111
CMP-1402,5/16/2024,Illegal Parking,Illegal Parking reported in Downtown,Parks,Resolved,Low,Traffic,27.0,24.719506,46.613509
CMP-1403,7/14/2024,Street Lighting,Street Lighting reported in Downtown,Residential Area,Pending,Low,Public Works,,24.800264,46.773196
CMP-1404,5/11/2023,Garbage Collection,Garbage Collection reported in Suburbs,Residential Area,Resolved,High,Public Works,7.0,24.784558,46.740225
CMP-1405,4/8/2024,Garbage Collection,Garbage Collection reported in Downtown,Downtown,Resolved,Low,Water Management,27.0,24.693232,46.719873
CMP-1406,5/13/2024,Potholes,Potholes reported in City Center,City Center,Resolved,Medium,Traffic,30.0,24.826478,46.613616
CMP-1407,6/2/2023,Illegal Parking,Illegal Parking reported in Downtown,Suburbs,Pending,High,Parks & Recreation,,24.626415,46.690909
CMP-1408,7/11/2024,Garbage Collection,Garbage Collection reported in City Center,Residential Area,Pending,Low,Sanitation,,24.759278,46.63435
CMP-1409,4/8/2024,Noise Complaint,Noise Complaint reported in Suburbs,Industrial Area,In Progress,Medium,Public Works,,24.648843,46.614151
